CRAVATEX LIMITED (XBOM:509472),24-05-2024,Final,30-07-2024,31-07-2024,₹ 3.00,30.00%, ₹ 412.00 ,137.3333333
SAKSOFT LIMITED (XBOM:590051),27-05-2024,Final,31-07-2024,31-07-2024,₹ 0.40,40.00%, ₹ 294.95 ,737.375
KOKUYO CAMLIN LIMITED (XBOM:523207),15-05-2024,Final,30-07-2024,31-07-2024,₹ 0.50,50.00%, ₹ 151.55 ,303.1
CAREER POINT LIMITED (XBOM:533260),27-05-2024,Final,29-07-2024,30-07-2024,₹ 1.00,10.00%, ₹ 367.00 ,367
FAIRCHEM ORGANICS LIMITED (XBOM:543252),22-05-2024,Final,29-07-2024,30-07-2024,₹ 7.50,75.00%," ₹ 1,347.45 ",179.66
GRANULES INDIA LIMITED (XBOM:532482),15-05-2024,Final,30-07-2024,30-07-2024,₹ 1.50,150.00%, ₹ 469.50 ,313
STANDARD INDUSTRIES LIMITED (XBOM:530017),21-05-2024,Final,30-07-2024,30-07-2024,₹ 0.55,11.00%, ₹ 24.92 ,45.30909091
HAWKINS COOKERS LIMITED (XBOM:508486),29-05-2024,Final,29-07-2024,30-07-2024,₹ 120.00,1200.00%," ₹ 7,875.00 ",65.625
ORIENT CEMENT LIMITED (XBOM:535754),01-05-2024,Final,29-07-2024,30-07-2024,₹ 1.50,150.00%, ₹ 237.35 ,158.2333333
EIH ASSOCIATED HOTELS LIMITED (XBOM:523127),24-05-2024,Final,29-07-2024,29-07-2024,₹ 6.00,60.00%, ₹ 850.35 ,141.725
INFO EDGE (INDIA) LIMITED (XNSE:NAUKRI),16-05-2024,Final,29-07-2024,29-07-2024,₹ 12.00,120.00%," ₹ 6,354.00 ",529.5
EVEREADY INDUSTRIES INDIA LTD (XBOM:531508),26-04-2024,Final,26-07-2024,29-07-2024,₹ 1.00,20.00%, ₹ 334.55 ,334.55
SASKEN TECHNOLOGIES LIMITED (XBOM:532663),07-05-2024,Final,26-07-2024,27-07-2024,₹ 13.00,130.00%," ₹ 1,593.90 ",122.6076923
GODREJ AGROVET LIMITED (XBOM:540743),08-05-2024,Final,26-07-2024,27-07-2024,₹ 10.00,100.00%, ₹ 595.50 ,59.55
SUPER SALES INDIA LIMITED (XBOM:512527),29-05-2024,Final,26-07-2024,27-07-2024,₹ 7.00,70.00%," ₹ 1,614.40 ",230.6285714
NESCO LIMITED (XBOM:505355),20-05-2024,Final,26-07-2024,27-07-2024,₹ 6.00,300.00%, ₹ 988.90 ,164.8166667
NOCIL LIMITED (XBOM:500730),29-05-2024,Final,26-07-2024,27-07-2024,₹ 3.00,30.00%, ₹ 271.05 ,90.35
BASF INDIA LIMITED (XBOM:500042),14-05-2024,Final,26-07-2024,27-07-2024,₹ 15.00,150.00%," ₹ 4,891.00 ",326.0666667
R R KABEL LIMITED (XNSE:RRKABEL),28-05-2024,Final,26-07-2024,26-07-2024,₹ 3.00,60.00%," ₹ 1,767.90 ",589.3
UNITED BREWERIES LIMITED (XNSE:UBL),07-05-2024,Final,25-07-2024,26-07-2024,₹ 10.00,1000.00%," ₹ 2,130.90 ",213.09
RADICO KHAITAN LIMITED (XNSE:RADICO),14-05-2024,Final,25-07-2024,26-07-2024,₹ 3.00,150.00%," ₹ 1,731.00 ",577
